category,type,difficulty,question,correct_answer,incorrect_answers
"Entertainment: Video Games","multiple","easy","Gordon Freeman is said to have burnt and destroyed what food in the break room microwave?","Casserole","Sub Sandwich|Chicken Soup|Pepperoni Pizza"
"Entertainment: Video Games","multiple","medium","How many sets of grandmaster witcher gear are in The Witcher 3&#039;s Blood and Wine DLC?","5","3|6|4"
"Science: Gadgets","multiple","medium","Which company manufactured the iconic TR-808 drum machine?","Roland","Technics|Korg|Casio"
"Entertainment: Television","multiple","hard","In &quot;It&#039;s Always Sunny in Philadelphia&quot; what was the name of Frank&#039;s wrestling persona?","The Trash Man","Bird of War|Day Man|The Maniac"
"Entertainment: Video Games","multiple","hard","Prior to his appearance in Super Smash Bros. Ultimate, What was King K. Rool&#039;s last appearance in any game?","Mario Super Sluggers","Donkey Kong 64|Donkey Kong Country 3|Donkey Kong: King Of Swing"
"Entertainment: Video Games","multiple","hard","Given that all party members are maxed, who is the fastest party member in Super Mario RPG: Legend of The Seven Stars?","Geno","Mario|Bowser|Peach"
"Geography","multiple","medium","What is the longest river in Europe?","Volga","Danube|Rhine|Thames"
"Entertainment: Video Games","multiple","medium","In &quot;Kingdom Hearts&quot;, what is the name of Sora&#039;s home world?","Destiny Islands","Agrabah|Land of Departure|Disney Town"
"Science: Computers","multiple","easy","What is the most preferred image format used for logos in the Wikimedia database?",".svg",".png|.jpeg|.gif"
"General Knowledge","multiple","easy","In which fast food chain can you order a Jamocha Shake?","Arby&#039;s","McDonald&#039;s|Burger King|Wendy&#039;s"
"Geography","multiple","medium","Which is the world&#039;s longest river?","Nile","Missouri|Amazon|Yangtze"
"Geography","multiple","medium","The Principality of Sealand is an unrecognized micronation off the coast of what country?","The United Kingdom","Japan|Austrailia|Argentina"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","Which JoJo&#039;s Bizarre Adventure character possesses the Stand named Silver Chariot?","Jean Pierre Polnareff","Noriaki Kakyoin|Hol Horse|Hermes Costello"
"Entertainment: Books","multiple","medium","In Romance of the Three Kingdoms, who was not a member of the Peach Garden Oath?","Zhao Yun","Liu Bei|Guan Yu|Zhang Fei"
"Entertainment: Cartoon &amp; Animations","multiple","easy","In the show &quot;Steven Universe&quot;, who are the main two employees of The Big Donut?","Sadie and Lars","Steven and James|Erik and Julie|Bob and May"
"General Knowledge","multiple","hard","Disney&#039;s Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?","Harry","Gus|Phineas|Ezra"
"Geography","multiple","easy","The longest shared border in the world can be found between which two nations?","Canada and the United States","Chile and Argentina|Russia and China|India and Pakistan"
"Entertainment: Video Games","multiple","medium","Which actor provided the voice for the main character&#039;s father in Fallout 3?","Liam Neeson","Kiefer Sutherland|Brendan Gleeson|Robbie Coltrane"
"Sports","multiple","medium","Josh Mansour is part of what NRL team?","Penrith Panthers","Melbourne Storm|Sydney Roosters|North Queensland Cowboys"
"History","multiple","medium","Which of the following is NOT classified as a Semetic language?","Sumerian","Maltese|Akkadian|Mandaic"
"Entertainment: Cartoon &amp; Animations","multiple","medium","What is the name of Ruby Rose&#039;s weapon from RWBY?","Crescent Rose","Thorned Rosebud|Magnhild|Crooked Scythe"
"Sports","multiple","easy","Which team won 2014 FIFA World Cup in Brazil?","Germany","Argentina|Brazil|Netherlands"
"Animals","boolean","medium","The average lifespan of a wildcat is only around 5-6 years. ","False","True"
"Entertainment: Video Games","multiple","hard","What is the homeworld of the Elites from Halo?","Sanghelios","Te|Doisac|Eayn"
"Entertainment: Comics","multiple","easy","When was Marvel Comics founded?","1939","1932|1951|1936"
"Entertainment: Video Games","multiple","hard","What is the 4th boss in the 1997 video game &quot;Crash Bandicoot 2: Cortex Strikes Back&quot;?","Dr. N. Gin","Dr. Neo Cortex|Komodo Brothers|Tiny Tiger"
"Celebrities","boolean","easy","Tupac Shakur died due to complications from being stabbed in 1996.","False","True"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","What is the name of the school in the anime and manga &quot;Gosick&quot;?","St. Marguerite","St. Augustine|St. Mary|St. Bernadette"
"Entertainment: Video Games","multiple","easy","Which of these is not a wonder weapon in &quot;Call Of Duty: Zombies&quot;?","R115 Resonator","GKZ-45 Mk3|Ray Gun|Scavenger"
"General Knowledge","multiple","hard","Which of the following chemicals are found in eggplant seeds?","Nicotine","Mescaline|Cyanide|Psilocybin"
"Entertainment: Video Games","multiple","easy","In the Halo series, which era of SPARTAN is Master Chief? ","SPARTAN-II","SPARTAN-I|SPARTAN-III|SPARTAN-IV"
"Entertainment: Video Games","multiple","medium","Which company made the Japanese RPG &quot;Dragon Quest&quot;?","Square Enix","Capcom|Konami|Blizzard"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","What is the name of the final villain in the manga series &quot;Bleach&quot;?","Yhwach","Juha Bach|Yuhabah|Juhabach"
"General Knowledge","multiple","easy","According to Sherlock Holmes, &quot;If you eliminate the impossible, whatever remains, however improbable, must be the...&quot;","Truth","Answer|Cause|Source"
"Entertainment: Board Games","multiple","hard","In standard Monopoly, what&#039;s the rent if you land on Park Place with no houses?","$35","$30|$50|$45"
"Art","multiple","medium","Who painted the epic mural Guernica?","Pablo Picasso","Francisco Goya|Leonardo da Vinci|Henri Matisse"
"General Knowledge","multiple","easy","What do the letters in the GMT time zone stand for?","Greenwich Mean Time","Global Meridian Time|General Median Time|Glasgow Man Time"
"Entertainment: Video Games","multiple","hard","Which game was exclusive to Dreamcast?","Pen Pen TriIcelon","Sylvester &amp; Tweety in Cagey Capers|Perfect Dark|Tetrisphere"
"Entertainment: Video Games","multiple","medium","In PROTOTYPE 2, which of the following abilities/weapons is NOT obtained by an Evolved?","Tendrils","Blade|Bio-Bomb|Pack Leader"
"Entertainment: Music","multiple","hard","What is the first Studio Album to be released on the Internet with a &quot;Pay-What-You-Want&quot; price?","In Rainbows","The Help Album|Skrillex and Diplo Present Jack &Uuml;|Blackstar"
"Entertainment: Video Games","multiple","medium","The first version of Blockland came out in which year?","2004","2007|2008|2006"
"Entertainment: Books","multiple","medium","What was the pen name of novelist, Mary Ann Evans?","George Eliot","George Orwell|George Bernard Shaw|George Saunders"
"Vehicles","multiple","medium","When was Tesla founded?","2003","2008|2005|2007"
"Geography","multiple","medium","All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:","Urutora","Rungata|London|Washington"
"Geography","multiple","hard","What is the Finnish word for &quot;Finland&quot;?","Suomi","Eesti|Magyarorsz&aacute;g|Sverige"
"Vehicles","boolean","medium","The General Motors EV1 was the first street-legal production electric vehicle.","False","True"
"General Knowledge","multiple","easy"," Which chemical element, number 11 in the Periodic table, has the symbol Na?","Sodium","Carbon|Lead|Nitrogen"
"General Knowledge","multiple","easy","Area 51 is located in which US state?","Nevada","Arizona|New Mexico|Utah"
"Vehicles","multiple","medium","What part of an automobile engine uses lobes to open and close intake and exhaust valves, and allows an air/fuel mixture into the engine?","Camshaft","Piston|Drive shaft|Crankshaft"
"Science &amp; Nature","multiple","medium","The medical condition osteoporosis affects which part of the body?","Bones","Skin|Brain|Heart"
"Entertainment: Film","multiple","medium","Which one of these actors is said to be cut from the film &#039;E.T. the Extra-Terrestrial&#039;?","Harrison Ford","Michael J. Fox|Andy Kaufman|Arnold Schwarzenegger"
"Entertainment: Video Games","multiple","hard","In the &quot;PAYDAY&quot; series, what is the real name of the character known as &quot;Dallas&quot;?","Nathan Steele","Nate Siemens|Nick Stamos|Nolan Stuhlinger"
"Sports","multiple","medium","Which Formula One driver was nicknamed &#039;The Professor&#039;?","Alain Prost","Ayrton Senna|Niki Lauda|Emerson Fittipaldi"
"Entertainment: Video Games","multiple","medium","Who developed the 2016 farming RPG &quot;Stardew Valley&quot;?","Eric Barone","Daisuke Amaya|Jasper Byrne|Lucas Pope"
"Entertainment: Video Games","boolean","easy","The 2005 video game &quot;Call of Duty 2: Big Red One&quot; is not available on PC.","True","False"
"Entertainment: Music","boolean","medium","&quot;Neutral Milk Hotel&quot; is a real band.","True","False"
"Entertainment: Television","multiple","medium","What is Meg&#039;s full name in &quot;Family Guy&quot;?","Megatron Griffin","Who-Cares Griffin|Neil Griffin|Megan Griffin"
"Geography","multiple","easy","What is the Capital of the United States?","Washington, D.C.","Los Angelas, CA|New York City, NY|Houston, TX"
"General Knowledge","multiple","hard","What is the most commonly used noun in the English language?","Time","Home|Water|Man"
"Mythology","multiple","medium","Neptune&#039;s greek name was...","Poseidon","Ares|Zeus|Apollo"
"Geography","multiple","easy","All of the following are classified as Finno-Ugric languages EXCEPT:","Samoyedic","Hungarian|Finnish|Estonian"
"General Knowledge","boolean","medium","Pure water effectively conducts electricity ","False","True"
"Science: Gadgets","multiple","hard","Who built the first laser?","Theodore Harold Maiman","Nikola Tesla|Jack Kilby|Edith Clarke"
"Science &amp; Nature","multiple","easy","What is the first element on the periodic table?","Hydrogen","Helium|Oxygen|Lithium"
"Entertainment: Video Games","multiple","medium","What is the final game of the &quot;Zero Escape&quot; series called?","Zero Escape Zero Time Dilemma ","Nine Hours, Nine Persons, Nine Doors |Zero Escape Virtue&#039;s Last Reward|The Nonary Game: Sigma&#039;s Last Life"
"Science &amp; Nature","multiple","medium","About how old is Earth?","4.5 Billion Years","3.5 Billion Years|2.5 Billion Years|5.5 Billion Years"
"Entertainment: Video Games","multiple","hard","Before Super Smash Bros. contained Nintendo characters, what was it known as internally?","Dragon King: The Fighting Game","Contest of Champions|Smash and Pummel|Fighter of the Ages: Conquest"
"Entertainment: Video Games","boolean","easy","The main playable character of the 2015 RPG &quot;Undertale&quot; is a monster.","False","True"
"Entertainment: Music","multiple","medium","&quot;The Genius&quot; is the original and secondary name of which Wu-Tang Clan member?","GZA","Ghostface Killah|Ol&#039; Dirty Bastard|Raekwon the Chef"
"Entertainment: Video Games","multiple","medium","What is the name of the protagonist of Life Is Strange?","Max Caulfield","Frank Bowers|Rachel Amber|Kate Marsh"
"General Knowledge","multiple","hard","The words &quot;bungalow&quot; and &quot;shampoo&quot; originate from the languages of which country?","India","Papua New Guinea|Ethiopia|China"
"History","multiple","easy","A collection of Sanskrit hymns and verses known as the Vedas are sacred texts in what religion?","Hinduism","Judaism|Islam|Buddhism"
"Politics","boolean","medium","The State of Queensland, Australia voted NO to a referendum for daylight savings in 1992.","True","False"
"Science &amp; Nature","multiple","medium","After which Danish city is the 72th element on the periodic table named?","Copenhagen","Odense|Herning|Skagen"
"Entertainment: Video Games","multiple","medium","Without enchantments, which pickaxe in minecraft mines blocks the quickest.","Golden ","Diamond|Iron|Obsidian"
"Entertainment: Video Games","multiple","easy","What was the first game in the &quot;Battlefield&quot; series?","Battlefield 1942","Battlefield Vietnam|Battlefield 2|Battlefield 1"
"Politics","multiple","medium","Who was elected leader of the UK Labour Party in September 2015?","Jeremy Corbyn","Ed Miliband|David Cameron|Theresa May"
